title,href
" 
      Palette styles new do not delete 
     ",undefined
" 
      Headlines 
     ",undefined
" 
       Ukraine invasion  
     ",https://www.theguardian.com/world/ukraine
" 
      Spotlight 
     ",undefined
" 
       Glastonbury festival  
     ",https://www.theguardian.com/music/glastonbury
" 
      First Edition newsletter 
     ",undefined
" 
       Opinion  
     ",https://www.theguardian.com/uk/commentisfree
" 
      Editorials & Letters 
     ",undefined
" 
       Sport  
     ",https://www.theguardian.com/uk/sport
" 
      Contact the Guardian 
     ",undefined
Tip us off,undefined
" 
       Climate crisis  
     ",https://www.theguardian.com/uk/environment
" 
      Documentaries 
     ",undefined
" 
      From the UK 
     ",undefined
" 
       Around the world  
     ",https://www.theguardian.com/world
" 
       Today in Focus  
     ",https://www.theguardian.com/news/series/todayinfocus
 Video ,video
" 
        
         Documentaries  
        ",/documentaries
" 
       Culture  
     ",https://www.theguardian.com/uk/culture
" 
      culture-treat 
     ",undefined
" 
       Lifestyle  
     ",https://www.theguardian.com/uk/lifeandstyle
" 
      Take part 
     ",undefined
" 
      Explore 
     ",undefined
" 
       Newsletters  
     ",https://www.theguardian.com/email-newsletters
" 
       In pictures  
     ",https://www.theguardian.com/inpictures
" 
       Most viewed  
     ",undefined
